geo_level, geo_code, geo_version, class, name, statistic, total
district,DC32,2016,100 001-150K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,150 001-200K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,200 001-300K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,300 001-500K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,500 001-800K,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,800 001-1M,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,Above1M,Acornhoek Bushbuckridge,Highest price per hectare in 12 months(R/ha),
district,DC32,2016,Under1.5K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),1117
district,DC32,2016,1 501-3K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),
district,DC32,2016,3 001-5K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),
district,DC32,2016,5 001-10K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),
district,DC32,2016,10 001-20K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),
district,DC32,2016,20 001-30K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),
district,DC32,2016,30 001-40K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),39542
district,DC32,2016,40 001-50K,Acornhoek Bushbuckridge,Average price per hectare in 12 months(R/ha),
